"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"M",NA,0.49,NA,1.2525,0.63,0.246,0.289,9
"M",NA,0.505,0.155,NA,0.705,0.2655,0.335,10
"M",0.625,NA,0.16,1.2415,0.6575,0.2625,NA,9
"M",0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10
"F",NA,0.38,NA,0.639,0.3,0.1525,NA,11
"F",NA,0.49,0.16,1.144,0.5015,NA,NA,8
"M",NA,0.335,0.1,0.4085,0.1755,0.092,0.135,9
"M",0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10
"F",0.72,0.575,0.215,NA,0.8565,0.4825,0.602,12
"I",0.44,0.305,0.115,0.379,0.162,0.091,0.11,9
"M",0.52,NA,0.15,0.895,0.3615,NA,0.235,14
"F",0.69,0.56,0.215,1.719,0.68,NA,0.47,NA
"M",NA,0.44,0.135,0.966,NA,0.2145,0.2605,10
"I",0.32,0.25,0.08,0.1565,0.057,0.034,0.06,NA
"M",0.625,0.48,0.16,1.1415,0.5795,NA,NA,9
"I",0.495,NA,0.115,0.507,0.241,0.103,0.15,8
"F",0.53,0.41,0.13,NA,0.302,0.1935,0.2,10
"I",0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
"M",0.46,0.36,0.135,0.6105,0.1955,0.107,0.235,14
"M",0.605,NA,0.165,1.1245,0.492,NA,NA,11
"M",0.585,0.465,0.16,0.9555,0.4595,0.236,NA,7
"M",NA,0.455,0.17,1.1915,NA,0.2395,0.24,8
"M",0.47,0.37,0.13,0.5225,0.201,0.133,0.165,NA
"I",0.335,0.26,NA,0.192,0.0785,0.0585,0.07,8
"M",0.455,0.34,0.135,0.462,0.1675,0.158,0.12,NA
"M",0.56,0.445,NA,NA,0.42,0.2175,0.2215,8
"M",0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11
"M",0.585,NA,0.145,0.9565,0.4025,0.2365,0.265,9
"F",0.575,0.46,0.16,NA,0.538,0.221,0.249,9
"M",0.45,0.32,NA,0.381,0.1705,0.075,NA,9
"M",0.6,0.48,0.09,NA,0.457,0.2685,0.28,8
"F",0.585,NA,0.17,0.9945,0.4255,0.263,0.2845,11
"M",0.645,NA,0.16,1.5075,0.7455,0.245,0.4325,NA
"F",0.65,0.515,NA,1.4005,0.5195,NA,NA,NA
"F",0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
"F",0.625,0.49,0.175,NA,0.5565,0.247,0.365,NA
"M",0.495,NA,0.155,NA,0.45,0.2285,0.2475,9
"M",0.63,0.49,0.155,NA,0.535,0.29,0.335,11
"M",0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
"M",0.595,0.435,0.16,1.057,0.4255,0.224,NA,9
"M",NA,0.535,0.195,NA,NA,NA,0.48,NA
"M",0.495,0.385,0.135,NA,0.211,0.1375,0.262,12
"I",0.46,0.345,0.105,NA,0.187,0.087,0.11,8
"M",NA,0.565,NA,1.187,0.691,0.1945,0.2685,8
"M",0.6,0.475,NA,1.1385,NA,0.2295,NA,9
"M",0.485,0.395,NA,0.6295,0.2285,0.127,0.225,14
"M",0.62,0.51,0.175,1.615,NA,0.192,NA,12
"M",0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
"F",NA,0.485,0.175,1.3745,0.7335,0.2715,0.332,NA
"F",0.615,NA,0.145,0.9525,0.3915,0.195,NA,9
"M",0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
"F",NA,0.535,0.175,1.773,0.6805,0.48,0.512,15
"M",0.525,NA,0.13,0.6875,0.3435,0.1495,0.1765,9
"I",0.38,0.285,0.09,0.2305,0.1005,0.039,NA,7
"F",0.7,0.525,0.19,NA,NA,0.365,0.43,10
"F",0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8
"M",0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
"I",0.39,0.31,0.105,NA,0.1185,NA,0.081,8
"M",0.735,0.59,0.215,1.747,0.7275,NA,0.557,11
"F",0.55,0.43,NA,NA,0.2635,0.122,0.221,8
"F",0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
"F",0.595,NA,0.16,1.1405,NA,0.231,0.271,6
"I",0.45,NA,0.12,0.4925,NA,0.1075,NA,6
"F",0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
"M",NA,0.505,0.185,NA,0.592,0.3905,0.416,NA
"F",0.6,NA,0.17,1.0805,0.4995,0.2245,0.3205,NA
"F",0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
"F",0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
"F",0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
"I",0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7
"F",0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
"M",0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
"I",0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11
"M",0.515,0.4,NA,0.6335,0.288,0.145,0.168,9
"M",0.65,0.525,0.175,NA,0.675,0.315,0.399,11
"M",NA,0.505,0.19,1.533,0.667,NA,0.41,10
"M",0.645,0.485,0.155,1.489,NA,NA,0.38,18
"M",NA,0.48,0.175,1.065,0.4865,0.259,NA,10
"M",0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
"M",0.575,0.45,NA,0.886,0.3605,0.211,0.2575,9
"M",0.5,0.42,0.125,0.62,0.255,0.15,0.205,11
"M",0.29,0.225,0.08,0.1295,0.0535,0.026,0.045,NA
"I",0.525,0.405,0.125,0.657,0.2985,0.1505,0.168,10
"M",NA,0.525,0.185,1.622,0.6645,0.3225,0.477,10
"M",0.575,0.465,0.15,NA,NA,0.2065,0.238,9
"M",0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
"I",0.465,0.355,NA,0.5805,0.255,0.0915,0.184,8
"I",0.41,NA,NA,NA,0.097,NA,0.08,10
"M",0.66,0.51,0.175,1.218,0.5055,0.303,0.37,11
"M",0.575,NA,0.135,NA,0.4245,0.197,0.26,NA
"M",0.715,0.52,0.18,NA,NA,0.3525,0.445,12
"I",0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
"I",0.5,0.375,0.12,0.542,0.215,0.116,0.17,9
"I",0.45,0.35,NA,0.474,0.21,0.109,0.1275,NA
"I",0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,NA
"M",0.625,0.49,NA,1.1165,NA,0.2615,0.3325,11
"F",NA,0.345,0.105,NA,0.165,0.083,0.132,11
"I",0.21,NA,0.045,0.04,0.0135,0.008,0.0105,4
"M",0.65,0.52,0.195,1.676,0.693,0.44,0.47,15
"M",0.55,NA,0.155,0.9155,0.3645,0.195,0.25,8
"I",0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
"M",NA,0.485,NA,1.2215,0.5695,0.2735,NA,9
"I",0.335,0.255,0.08,0.168,NA,0.0355,0.05,NA
"M",0.61,0.45,0.15,0.871,0.407,0.1835,NA,10
"I",NA,NA,0.125,0.5575,NA,0.1195,0.1525,9
"M",NA,0.34,0.125,0.4495,0.165,0.1125,0.144,11
"I",0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,NA
"I",0.21,0.17,0.045,0.0475,NA,0.011,0.013,5
"I",0.555,0.43,0.14,NA,0.341,0.165,0.23,9
"I",NA,0.245,0.085,0.2015,0.1005,0.038,0.053,NA
"M",0.63,0.525,NA,1.3135,NA,0.2565,NA,NA
"F",0.65,0.545,0.175,1.5245,0.59,0.326,0.495,10
"M",0.62,NA,0.165,1.0855,0.481,0.2575,0.305,10
"M",0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
"M",0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
"I",NA,0.19,0.06,0.086,0.042,0.014,0.025,4
"I",0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7
"M",0.645,0.48,0.15,1.192,0.6055,NA,0.285,NA
"M",0.56,NA,0.135,0.849,NA,0.221,0.2645,10
"F",NA,NA,0.15,1.0525,0.392,0.336,0.285,12
"M",0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
"M",0.575,0.455,NA,1.165,NA,0.2275,NA,14
"I",0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
"M",0.63,NA,0.23,1.539,0.5635,0.2815,0.57,17
"M",0.615,0.475,0.175,1.224,0.6035,0.261,0.311,NA
"F",0.55,0.44,0.155,0.946,0.313,NA,0.335,16
"M",NA,0.46,0.16,1,0.494,NA,0.275,10
"I",0.37,0.275,0.1,0.2815,NA,0.0505,0.068,NA
"I",0.235,0.18,0.06,NA,0.022,0.0145,0.018,NA
"M",0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
"I",0.56,0.445,NA,0.8225,0.3685,0.187,0.236,10
"M",0.505,0.39,0.12,0.653,NA,0.1385,0.167,9
"F",0.515,0.435,NA,0.631,0.2765,0.111,0.216,12
"M",0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
"F",0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,NA
"I",0.58,0.445,0.125,0.7095,0.303,0.1405,0.235,9
"I",0.62,0.45,0.135,0.924,NA,NA,0.2965,10
"I",0.33,0.23,0.08,0.14,0.0565,NA,0.046,7
"I",0.385,0.295,0.085,NA,0.103,0.0575,0.085,7
"I",0.405,0.305,0.09,0.2825,0.114,NA,0.095,NA
"I",0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
"M",0.58,NA,0.125,0.9115,0.446,0.2075,0.121,10
"F",0.475,NA,0.135,0.486,0.1735,0.07,0.185,7
"F",0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
"I",0.63,0.475,0.145,1.0605,NA,0.2195,0.28,10
"F",0.36,0.27,NA,0.1885,0.0845,0.0385,0.055,NA
"M",0.5,0.4,0.13,0.7715,0.37,0.16,0.211,8
"F",0.7,0.545,0.13,1.556,0.6725,NA,0.195,12
"F",0.455,0.355,0.12,0.4495,NA,0.104,NA,9
"I",0.56,0.445,NA,1.0285,0.4535,0.253,0.275,11
"M",NA,0.585,0.215,2.499,0.9265,0.472,0.7,17
"I",NA,NA,0.115,0.5785,NA,0.106,0.184,NA
"I",0.515,NA,0.135,0.7125,0.285,0.152,0.245,10
"I",0.415,0.315,0.105,NA,0.1405,0.0705,0.095,NA
"I",0.355,NA,0.09,0.1925,0.077,0.038,0.065,8
"M",0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11
"M",0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12
"F",0.525,0.43,0.125,NA,0.3315,0.166,0.1775,12
"M",0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9
"I",NA,0.45,0.14,0.753,0.3445,NA,0.24,8
"I",NA,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
"I",0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
"F",0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275,12
"I",0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14
"F",0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
"F",0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
"I",0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9
"F",NA,0.51,0.155,1.129,0.5015,0.24,0.342,10
"M",0.505,0.41,0.125,NA,0.289,0.133,0.155,9
"M",0.625,0.465,0.14,1.195,0.4825,0.205,NA,13
"F",0.57,0.46,0.135,0.9795,0.397,NA,0.2655,9
"M",0.64,0.495,0.165,1.307,0.678,0.292,0.266,11
"M",0.555,0.41,0.125,0.599,0.2345,0.1465,0.194,NA
"F",NA,0.35,0.125,0.4485,0.1585,0.102,NA,16
"M",0.6,0.475,0.15,0.99,0.386,0.2195,NA,10
"F",0.675,0.51,0.185,1.473,0.6295,NA,0.4245,11
"M",0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
"M",0.595,NA,0.145,NA,0.463,NA,0.2535,10
"M",NA,0.39,0.135,0.7815,0.361,0.1575,0.2385,NA
"M",0.605,0.49,0.145,1.3,0.517,NA,0.31,14
"F",0.605,0.47,0.155,NA,0.393,0.224,0.3345,9
"I",0.305,0.22,0.07,0.141,NA,NA,NA,5
"M",0.65,0.485,0.14,NA,0.475,0.2435,0.215,8
"M",NA,0.46,0.18,1.145,0.48,0.277,0.325,11
"I",0.365,NA,0.135,0.24,0.108,0.0445,0.0735,NA
"I",0.375,0.28,0.09,0.215,0.084,0.06,NA,6
"F",0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
"I",0.555,0.43,0.125,0.7005,0.3395,0.1355,0.2095,8
"M",0.67,NA,0.2,1.269,0.576,0.2985,0.351,NA
"F",0.54,0.42,0.145,0.8655,NA,0.163,0.2175,10
"F",0.695,0.565,0.19,NA,0.7465,0.399,NA,11
"F",0.665,0.52,NA,1.6885,0.7295,0.407,0.4265,11
"F",0.465,0.35,0.125,0.482,NA,0.106,NA,6
"I",0.34,NA,0.09,0.179,0.076,0.0525,0.055,6
"I",0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
"M",NA,0.4,0.125,NA,0.2735,0.159,NA,13
"F",0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
"M",0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11
"F",0.61,NA,0.155,0.957,NA,0.1975,0.265,8
"I",0.475,0.355,0.125,0.4865,0.2155,0.1105,NA,9
"M",0.385,0.285,0.105,0.2905,NA,0.0685,0.0875,12
"M",0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
"F",NA,0.52,0.17,1.197,0.526,0.2925,NA,11
"I",0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
"F",NA,0.445,0.16,1.09,0.46,0.2965,0.304,11
"F",0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
"I",0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11
"F",0.705,0.535,0.18,1.685,0.693,0.42,0.4045,NA
"I",NA,0.47,NA,0.939,0.3385,0.201,0.32,13
"F",0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11
"I",0.54,NA,0.145,0.97,0.4285,0.22,0.264,17
"M",0.535,0.41,0.15,0.8105,NA,0.187,NA,11
"M",0.565,0.44,NA,0.868,0.348,0.217,0.26,11
"M",0.585,NA,0.15,1.047,0.4315,NA,0.315,14
"M",0.535,0.405,0.14,0.7315,0.336,NA,0.19,7
"F",0.39,0.3,0.1,0.265,NA,0.06,0.0865,13
"I",0.49,0.375,0.115,NA,0.2275,0.1335,0.1765,8
"M",NA,NA,0.08,0.2555,0.097,0.043,0.1,NA
"F",0.615,0.455,0.145,1.1155,0.5045,NA,0.315,10
"M",0.665,0.525,NA,1.338,0.5515,0.3575,0.35,18
"M",NA,0.55,0.195,1.6645,0.727,NA,NA,11
"M",0.57,0.415,NA,0.88,0.4275,0.1955,0.238,13
"I",0.435,NA,NA,0.393,0.219,0.075,0.0885,NA
"I",0.59,0.46,0.125,NA,0.334,0.15,0.238,9
"F",0.615,NA,0.17,1.055,0.543,0.246,NA,9
"F",0.29,NA,0.075,0.14,0.0515,0.0235,0.04,5
"M",0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
"M",0.435,0.335,0.11,NA,0.2075,0.0715,0.1315,7
"M",0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
"I",0.475,0.35,NA,0.4225,0.1905,0.079,0.1355,9
"F",0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
"M",0.58,0.445,NA,0.814,NA,0.1915,0.22,9
"F",0.655,0.505,0.19,1.3485,0.5935,0.2745,0.425,12
"M",0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
"F",0.515,0.42,0.135,NA,0.2815,0.127,0.215,9
"I",0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,NA
"I",0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
"M",0.505,0.405,0.14,0.875,0.2665,NA,0.285,12
"I",0.55,0.425,0.15,NA,0.339,NA,0.21,8
"M",0.53,NA,0.16,0.883,0.316,0.164,0.335,NA
"F",0.625,0.485,0.135,NA,0.61,NA,NA,14
"F",0.38,NA,0.11,0.3105,0.12,0.074,0.105,10
"F",0.4,0.31,NA,0.3465,0.1475,0.0695,0.115,10
"M",0.385,0.295,0.095,NA,0.147,0.094,0.09,7
"M",0.63,0.48,0.145,1.0115,0.4235,NA,0.305,12
"F",0.52,NA,0.12,NA,0.2645,0.1415,0.181,11
"F",0.565,0.48,0.175,NA,0.3885,0.215,0.275,18
"M",0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
"F",0.615,0.475,0.175,1.194,0.559,NA,NA,11
"F",0.675,0.55,0.175,1.689,0.694,0.371,0.474,NA
"I",0.445,0.32,0.12,0.378,0.152,NA,0.12,8
"I",0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435,8
"F",0.655,0.46,0.16,NA,0.6895,0.331,0.1825,9
"F",0.44,0.34,0.105,0.364,0.148,NA,0.1175,8
"I",NA,0.32,0.11,0.3675,0.1675,0.102,0.105,NA
"F",0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,NA
"M",0.605,0.475,NA,0.9365,0.394,0.219,NA,15
"F",0.705,0.53,0.17,1.564,0.612,0.394,0.44,10
"M",0.54,0.415,NA,0.74,0.2635,0.168,NA,12
"M",0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
"M",0.59,0.49,0.135,1.008,0.422,0.2245,NA,NA
"F",0.58,0.48,NA,1.2495,0.4945,0.27,0.371,8
"I",0.545,0.43,0.14,0.772,0.289,0.19,0.2615,8
"M",0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
"I",0.575,NA,NA,0.872,0.4675,0.18,0.217,9
"I",0.47,0.355,0.115,NA,0.167,0.084,0.139,NA
"I",0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,NA
"F",0.715,0.525,0.185,1.56,0.6655,0.383,NA,11
"F",0.585,NA,0.17,0.9915,0.3865,0.224,0.265,12
"I",NA,0.375,0.115,0.4615,0.204,NA,0.143,8
"M",0.515,0.405,0.14,0.8505,0.312,0.146,0.315,NA
"F",0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9
"F",0.59,0.475,NA,0.9715,0.371,0.235,0.28,NA
"F",0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
"M",0.675,0.52,NA,1.3645,0.557,NA,NA,11
"M",0.46,0.375,0.135,0.4935,0.186,0.0845,0.17,12
"F",NA,0.485,NA,1.2255,0.5075,0.296,0.36,10
"M",0.665,0.515,0.19,1.6385,NA,0.3575,0.371,11
"M",0.655,0.525,0.16,1.46,0.686,0.311,NA,11
"F",0.67,0.505,0.205,1.3645,0.6075,NA,NA,NA
"I",0.345,0.285,0.1,NA,0.0865,0.058,0.075,8
"M",0.72,0.565,0.19,2.081,1.0815,NA,0.503,11
"F",0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
"I",0.325,NA,0.08,NA,0.0395,0.0225,NA,8
"I",0.355,0.27,0.075,0.1775,0.079,0.0315,NA,6
"I",0.075,0.055,0.01,0.002,0.001,5e-04,0.0015,1
"F",0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,NA
"M",0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
"F",0.44,NA,0.115,NA,0.1585,0.0925,0.131,11
"I",0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
"I",0.495,NA,0.105,NA,0.2505,0.1265,NA,8
"F",0.6,0.46,0.15,1.235,NA,0.274,0.29,8
"I",0.5,0.385,NA,0.6265,0.2605,0.1665,0.16,10
"I",NA,0.215,0.075,NA,0.0565,0.0275,0.036,7
"I",0.56,0.43,0.13,NA,0.3355,0.1435,0.2175,8
"M",0.6,0.48,0.155,1.014,0.451,0.1885,NA,11
"I",0.165,0.12,0.03,0.0215,0.007,0.005,0.005,NA
"M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
"F",0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
"I",0.375,0.275,NA,NA,NA,0.042,0.065,6
"M",0.61,NA,0.17,1.281,0.597,0.3035,0.33,9
"M",0.49,NA,0.12,0.674,0.3325,0.1235,0.185,9
"M",0.57,0.445,0.15,0.9875,0.504,0.207,NA,8
"F",0.535,0.405,0.125,0.927,0.26,NA,0.345,16
"I",0.5,0.38,0.11,0.494,0.218,0.09,0.1325,NA
"M",0.34,NA,0.085,0.1835,0.077,0.046,0.065,10
"I",0.3,0.23,0.075,0.15,0.0605,NA,0.045,5
"I",0.485,NA,0.14,0.5065,0.2425,0.088,0.1465,NA
"I",0.42,0.325,NA,0.368,NA,0.0625,0.1135,11
"M",0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
"M",NA,0.455,0.15,1.044,0.518,0.2205,0.27,9
"M",0.575,0.45,0.155,0.9765,NA,NA,0.235,NA
"M",0.625,NA,0.145,1.085,0.4645,0.2445,0.327,10
"M",0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
"I",0.48,0.36,0.125,0.542,0.2795,NA,0.147,7
"M",NA,0.36,0.1,NA,0.194,0.099,0.115,8
"M",0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
"M",NA,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
"F",0.555,NA,0.145,0.8815,0.43,0.1975,0.2155,8
"F",0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
"F",0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
"I",0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
"F",0.575,0.42,0.19,1.764,0.914,0.377,0.4095,10
"F",0.625,0.49,0.155,1.2085,0.465,0.162,0.411,11
"F",0.535,0.46,0.145,NA,NA,0.2005,0.2,8
"F",0.545,0.43,0.165,0.802,0.2935,NA,0.28,NA
"I",0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
"F",0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
"I",0.415,NA,NA,0.3285,0.1405,NA,0.106,12
"F",0.575,0.425,0.15,NA,0.455,0.18,0.228,NA
"I",0.385,0.29,0.1,0.2575,0.1,NA,0.086,6
"M",0.53,0.405,0.125,0.6515,NA,0.1605,0.186,7
"M",0.56,0.45,NA,0.9,0.472,0.182,0.218,NA
"I",0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
"M",0.63,0.48,0.165,1.286,NA,NA,0.35,8
"I",0.625,0.465,0.155,0.972,0.404,0.1845,0.35,14
"F",0.585,0.42,0.155,NA,0.437,NA,NA,11
"F",0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
"F",0.655,NA,0.17,1.527,0.8485,NA,0.331,11
"I",0.475,0.36,NA,0.4355,0.196,0.0925,0.125,NA
"I",0.45,NA,0.105,0.3715,0.1865,NA,0.0975,NA
"F",0.655,0.5,0.205,1.528,NA,0.3725,0.4535,11
"M",0.68,0.54,NA,NA,0.671,0.379,0.384,10
"M",0.57,0.455,0.15,0.96,0.387,NA,0.275,NA
"F",0.515,NA,0.13,0.5755,0.1975,0.13,0.1845,9
"I",0.53,0.38,0.125,0.616,0.292,0.113,NA,8
"I",0.465,0.38,0.13,0.454,0.1895,0.08,0.155,NA
"M",0.685,0.52,0.165,1.519,0.699,0.3685,NA,10
"I",0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
"I",0.415,0.31,NA,NA,0.167,0.083,0.0915,6
"M",NA,0.515,0.17,NA,0.6355,0.2955,0.38,11
"I",0.42,NA,0.1,0.3415,0.1645,0.0775,0.086,7
"I",0.25,0.19,0.065,NA,0.039,0.015,0.025,5
"I",NA,0.13,0.095,0.03,0.013,0.008,0.01,4
"I",NA,0.415,0.145,0.944,0.3845,0.185,0.265,21
"M",NA,0.305,0.085,0.297,0.108,NA,0.1,10
"M",0.59,0.46,NA,0.906,NA,0.1485,0.335,15
"I",0.515,0.39,NA,0.565,0.235,0.135,NA,9
"F",0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
"F",0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
"I",0.18,NA,0.045,0.0275,0.0125,0.01,0.009,3
"F",0.505,0.425,0.14,0.85,0.275,NA,0.285,19
"M",0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,NA
"M",0.68,NA,NA,1.7885,NA,0.408,0.437,13
"M",0.51,0.415,NA,0.8185,0.3025,0.2155,0.235,16
"M",0.33,NA,0.095,0.1875,0.0735,0.045,0.06,7
"F",NA,0.46,0.17,1.0835,NA,0.326,0.325,14
"I",0.275,NA,0.09,0.1125,0.0545,NA,0.0355,6
"F",0.545,NA,0.115,0.6765,0.29,0.158,0.22,NA
"F",0.505,0.41,NA,0.6345,0.243,0.1335,0.215,NA
"F",0.665,0.57,0.185,1.522,0.6965,0.3025,NA,13
"I",0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
"F",0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
"I",0.55,NA,NA,0.7895,0.3745,0.171,0.223,11
"M",0.61,NA,0.15,1.1625,0.565,0.258,0.3085,NA
"I",0.475,0.355,NA,0.5035,0.2535,0.091,0.14,NA
"M",NA,NA,0.2,1.858,0.73,0.3665,0.595,11
"F",0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17
"F",0.565,NA,NA,1.058,0.439,0.2645,0.3,10
"F",0.635,0.505,0.145,1.1345,0.505,NA,0.315,NA
"I",0.47,NA,0.13,0.5225,0.198,0.1065,0.165,9
"F",0.55,0.45,0.15,NA,0.362,0.1755,0.2765,10
"F",0.55,0.425,0.14,NA,0.4895,0.1945,0.2185,7
"M",0.615,0.505,NA,1.34,NA,NA,0.41,12
"F",NA,0.44,0.135,NA,0.2385,NA,0.3,17
"I",0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
"M",0.55,0.45,0.17,0.81,0.317,NA,0.22,11
"M",0.6,0.5,0.16,NA,0.3995,0.1735,0.33,19
"I",0.46,0.335,0.11,0.444,NA,0.0745,0.11,8
"M",NA,0.485,NA,1.3,0.4335,NA,0.46,23
"M",0.475,0.375,NA,0.593,NA,0.115,0.18,10
"I",0.535,0.45,0.155,0.8075,0.3655,0.148,0.2595,10
"M",0.625,0.48,0.185,1.2065,0.587,0.29,NA,8
"M",0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
"M",0.555,0.45,NA,0.874,0.3275,0.202,0.305,10
"F",0.45,0.355,0.105,0.5225,NA,0.1165,0.145,8
"I",0.315,NA,0.07,0.164,NA,0.04,0.045,6
"I",0.4,0.29,0.1,0.258,NA,0.059,0.0815,7
"M",0.525,0.405,0.135,0.7575,0.3305,0.216,0.195,NA
"I",0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
"M",0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
"M",0.675,0.525,0.16,1.2835,0.572,0.2755,NA,13
"I",NA,0.335,0.115,0.4215,0.173,0.0765,0.113,NA
"F",NA,0.45,0.135,0.8285,NA,0.1655,0.236,NA
"I",0.3,NA,0.08,0.121,0.0475,0.042,0.035,NA
"M",0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
"I",0.625,0.47,0.155,1.1955,0.643,NA,0.3145,NA
"M",0.535,NA,0.145,0.791,NA,0.189,0.25,10
"F",NA,0.375,0.105,0.513,NA,0.142,0.13,11
"F",0.53,NA,0.15,0.7775,0.237,0.1415,0.33,20
"I",0.425,0.325,0.11,0.3335,0.173,0.045,0.1,NA
"F",0.62,NA,0.175,NA,0.5415,0.323,0.3225,NA
"F",0.57,0.45,0.17,1.098,0.414,0.187,0.405,20
"M",NA,0.125,0.05,0.023,0.0085,0.0055,0.01,NA
"F",NA,0.53,0.19,NA,0.493,0.318,0.565,18
